target,text,nltk_clean_text,spacy_clean_text
0,@MariahCarey can i ask... whats the best thing tu say tu a girl u like (i like) i need all the help i can gett if u u know what i mean ,ask whats best thing tu say tu girl u like like need help gett u u know mean,ask s good thing tu tu girl u like like need help gett u u know mean
0,going to breakfast for the last time in conneticut ,going breakfast last time conneticut,go breakfast time conneticut
1,Heading to the in-law's for BBQ and swimming!  In-law are gone till the 18th!    #fb,heading inlaws bbq swimming inlaw gone till 18th,head inlaw bbq swimming inlaw go till th
1,#myweakness My boyfriend. love him to death. The man gets what he wants ,boyfriend love death man get want,boyfriend love death man get want
0,@lkue  sucks. wanna get drunk?,suck wanna get drunk,suck wanna drunk
0,My back hurts like hell sleeping on the floor ,back hurt like hell sleeping floor,hurt like hell sleep floor
0,@getape I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!,bad net issue wed couldnt broadcast tonight tho tune new anthem bad mixing,bad net issue weds not broadcast tonight tho tune new anthem bad mixing
0,"done with most, but didn't do a couple of things.  I shall wake up in 4 hours. *cries* 1st week of school and i'm already losing sleep.",done didnt couple thing shall wake 4 hour cry 1st week school im already losing sleep,not couple thing shall wake hour cry st week school m lose sleep
1,@Leena24 heading to ya house ,heading ya house,head ya house
0,Ordered pizza for lunch - last Friday off with the kids!  I'll miss our Fridays.   I haven't worked Fr regularly since Jace came home.,ordered pizza lunch last friday kid ill miss friday havent worked fr regularly since jace came home,order pizza lunch friday kid ill miss fridays not work fr regularly jace come home
0,SKITTLES! Happy me. I havent sleep in so long there are bruses under my eyes. ,skittle happy havent sleep long bruses eye,skittles happy not sleep long bruse eye
1,@AlexSkolnick let's get a big band together and make real musiq!!!  hope ur doing great love ya!,let get big band together make real musiq hope ur great love ya,let big band real musiq hope ur great love ya
0,"@Pink i absolutely love ur music and the fact that u actually sing live! i wish i could afford to come to one of ur shows, but tuff times ",absolutely love ur music fact u actually sing live wish could afford come one ur show tuff time,absolutely love ur music fact u actually sing live wish afford come ur show tuff time
1,Good morning everyone...I feel like listening to Iration-Fallin'!!!  Chi-huuuuuuuuu 8 hours till the weekend  â« http://blip.fm/~7p103,good morning everyonei feel like listening irationfallin chihuuuuuuuuu 8 hour till weekend,good morning everyonei feel like listen irationfallin chihuuuuuuuuu hour till weekend
0,"zzzzzzzzZZZzz my poor mac  sigh. well on the brighter side, been in salamanca for a week now and pretty much loving it. viva la vida !",zzzzzzzzzzzzz poor mac sigh well brighter side salamanca week pretty much loving viva la vida,zzzzzzzzzzzzz poor mac sigh bright salamanca week pretty love viva la vida
0,@ratvision we should have gone london today  RADIO ONE.,gone london today radio one,go london today radio
0,"@drwhanson it's bogey btw. Also, i was at hole 13, home now! Got your twit too late ",bogey btw also hole 13 home got twit late,bogey btw hole home got twit late
0,@tashamclellan obviously those people are stupid then because you're awesome ,obviously people stupid youre awesome,obviously people stupid awesome
1,wants the weekend already. photoshoot. bbq. pub. good times ,want weekend already photoshoot bbq pub good time,want weekend photoshoot bbq pub good time
0,"wants to play the ncaa footabll 10 demo, but it isn't up on ps3 yet ",want play ncaa footabll 10 demo isnt ps3 yet,want play ncaa footabll demo not ps
0,My parents are smelly poopy bums ,parent smelly poopy bum,parent smelly poopy bum
1,i mean now watching DALIM vids  but gonna have dinner first hehe...,mean watching dalim vids gonna dinner first hehe,mean watch dalim vid go to dinner hehe
0,lost a hubcap on my shopping trip today?  I am sad now,lost hubcap shopping trip today sad,lose hubcap shopping trip today sad
0,Dammit! Im forced to study! Why cant i just go 2 bed?! ,dammit im forced study cant go 2 bed,dammit m force study not bed
0,cannot decide on a hotel to stay at in West Hollywood ,cannot decide hotel stay west hollywood,decide hotel stay west hollywood
1,@mightymur welcome to Canada. Too bad you won't be closer to Calgary ,welcome canada bad wont closer calgary,welcome canada bad will not close calgary
1,@hotwifeannabel great story ... very very hot  looking forward to the next part!,great story hot looking forward next part,great story hot look forward
0,@FinchenSnail I will left you now  Joke.  Sleep well. Byee.,left joke sleep well byee,left joke sleep byee
1,@ScoutNarrator I could totally see you in a cute little Louise Brooks bob.  You would look good in any well-done haircut.  Bitch! ,could totally see cute little louise brook bob would look good welldone haircut bitch,totally cute little louise brooks bob look good welldone haircut bitch
0,Overnight at the city hospital only to b woken up by the construction on the metro  need sleep,overnight city hospital b woken construction metro need sleep,overnight city hospital b wake construction metro need sleep
1,@katieexlovee haha i lovee salem willows and ice creammm ,haha lovee salem willow ice creammm,haha lovee salem willow ice creammm
0,"my sore gums are making me so miserable, gonna have to see the dentist ",sore gum making miserable gonna see dentist,sore gum make miserable go to dentist
1,"@Laurennnn__ naw, hahah, i know you  how are you ?",__ naw hahah know,naw hahah know
1,Pls order strictly by email: cotton.and.ink@gmail.com and see our blog for the order form @nadiavetta cottonink.blogspot.com ,pls order strictly email cottonandinkcom see blog order form cottoninkblogspotcom,pls order strictly email cottonandinkcom blog order form cottoninkblogspotcom
0,@decor8 I'm so sorry to hear about your grandmother. ,im sorry hear grandmother,m sorry hear grandmother
0, super bummed.,super bummed,super bum
1,Time for saturday morn'n mocha with my Honeyz - then off to Derby Darlings carwash 1050 Thompson VTA &amp; then see Q play some basketball ,time saturday mornn mocha honeyz derby darling carwash 1050 thompson vta amp see q play basketball,time saturday mornn mocha honeyz derby darlings carwash thompson vta amp q play basketball
1,@directsex #ange hey ange ,hey ange,hey ange
0,i am in dire need of sleep!!!  why the hell can't i sleep???,dire need sleep hell cant sleep,dire need sleep hell not sleep
0,"Almost home thinking how much, i hate men right now &amp; thinking i might be in the wrong business, i have on idea anymore ",almost home thinking much hate men right amp thinking might wrong business idea anymore,home think hate man right amp thinking wrong business idea anymore
1,If off to Mcdonalds yum ,mcdonalds yum,mcdonalds yum
1,@MattMelvin Have you seen the Disney Labs one? It's one of my favorites in particular ,seen disney lab one one favorite particular,see disney labs favorite particular
0,"Not having a good morning, feel ill... have to walk to college with a bad foot too. ",good morning feel ill walk college bad foot,have good morning feel ill walk college bad foot
0,AHHHH..first day was so tiring..  teachers didn't show up at all!!..got LOST a while..don't know how long I could stand this.. ,ahhhhfirst day tiring teacher didnt show allgot lost whiledont know long could stand,ahhhhfirst day tiring teacher not allgot lose whiledont know long stand
0,"going to do some amazingness by failing at grifball haha i actually win all the games, except for on virtua tennis four  that sucks ahha",going amazingness failing grifball haha actually win game except virtua tennis four suck ahha,go amazingness fail grifball haha actually win game virtua tennis suck ahha
0,i'm so pissed i can't go meet lauren conrad at the  mall today! ,im pissed cant go meet lauren conrad mall today,m pissed not meet lauren conrad mall today
0,what a rainy sunday  the perfect day to joining the european election today. after that staying at home and watch some live-dvd's,rainy sunday perfect day joining european election today staying home watch livedvds,rainy sunday perfect day join european election today stay home watch livedvds
0,ohh i wish tt forum wud go back to normal and i wish i would come alive again i dont like being a ghost any more ,ohh wish tt forum wud go back normal wish would come alive dont like ghost,ohh wish tt forum wud normal wish come alive not like ghost
0,I hate waking up in the middle of the night.  http://tinyurl.com/mepymx,hate waking middle night,hate wake middle night
0,@RawVoodoo why do yer replies not show up directly to me ? ,yer reply show directly,yer reply directly
1,And hi to @88Links as well ,hi well,hi
1,"@MatthewN yeah, yeah i think i've heard that before too, they lie! ",yeah yeah think ive heard lie,yeah yeah think ve hear lie
1,"@StephHahn1 I doubt I will sub next week but you never know, but I am doing Camp Fire field trips on Thursday and Friday ",doubt sub next week never know camp fire field trip thursday friday,doubt sub week know camp fire field trip thursday friday
0,baking oatmeal + chocolate chip cookies to make me tired.  i can't sleep ,baking oatmeal chocolate chip cooky make tired cant sleep,bake oatmeal chocolate chip cookie tired not sleep
0,@kingcaveat ...but your lungs ,lung,lung
1,"@tdhedengren Sounds good to me, just the fact I like the way you've done a few things, and I'd like to see HOW you've done them!  HEHE",sound good fact like way youve done thing id like see youve done hehe,sound good fact like way ve thing d like ve hehe
0,Aw @FeJennings and @ERNurseJoy have vanished...  plop  ,aw vanished plop,aw vanish plop
0,@roukfa I am so sorry I missed you...I didn't log on for a few days  hope you enjoyed your time in NYC!!! I love it up here!,sorry missed youi didnt log day hope enjoyed time nyc love,sorry miss youi not log day hope enjoy time nyc love
1,BWAHAHAHAHA! Shut the fuck up... @BarryManilow is TOTES following me right now! Who made the account? Made me giggle like a school girl! ,bwahahahaha shut fuck tote following right made account made giggle like school girl,bwahahahaha shut fuck tote follow right account giggle like school girl
0,"@markhallCC EEEWW!!! Snakes I can deal with, but mice and things of that nature, No way!!!  Yucko!",eeeww snake deal mouse thing nature way yucko,eeeww snake deal mouse thing nature way yucko
1,BUT CAPITAL SUMMER BALL NEXT WEEK ,capital summer ball next week,capital summer ball week
1,@chrisweeksphoto but the Germans love the Hoff!  I was lucky enough to be haunted with his Berlin Wall concert while taking German class,german love hoff lucky enough haunted berlin wall concert taking german class,germans love hoff lucky haunt berlin wall concert take german class
0,@Frenchywilson  That doesnt sound good Enid does it ,doesnt sound good enid,not sound good enid
0,"don't know why, but i want grey nail polish. but  i can't find it anywhere. ",dont know want grey nail polish cant find anywhere,not know want grey nail polish not find
1,Just had an awesome time chattin with everyone!!! Thanks all!! ,awesome time chattin everyone thanks,awesome time chattin thank
1,"#AGEEONFALLON @jimmyfallon PLEASE, BRING STEVE AGEE ON THE SHOW!! ",please bring steve agee show,bring steve agee
0,thinking about new marketing plans and another business venture  gotta dream big ,thinking new marketing plan another business venture gotta dream big,think new marketing plan business venture get to dream big
1,I love going to the post office and seeing a gorgeous ad featuring model @KINGII. Proud of you boo ,love going post office seeing gorgeous ad featuring model proud boo,love go post office see gorgeous ad feature model proud boo
0,@jurgenhadley now this one's not working ,one working,one work
0,What a pissy rainy day here in shitty ol Dublin. I'm bloody freezin. ,pissy rainy day shitty ol dublin im bloody freezin,pissy rainy day shitty ol dublin m bloody freezin
1,@n3rin3: good plan ,good plan,good plan
0,Happy Father's day to all!  Wish mine wasn't so far away right now ,happy father day wish mine wasnt far away right,happy fathers day wish not far away right
1,"@indyan And there is another explanation..its 'I like dealing with a better class of people'.. Lol, uthaya hua line.. ",another explanationits like dealing better class people lol uthaya hua line,explanationit like deal well class people lol uthaya hua line
1,feeling sooo blessed and thankful to God for all the love ,feeling sooo blessed thankful god love,feel sooo bless thankful god love
0,@the_proton that's pretty much what I found on forums  There's something strange I found there.. might email engineers ;p,_proton thats pretty much found forum there something strange found might email engineer p,proton s pretty find forum s strange find email engineer p
0,"Sad, daddys leaving later for England. Sucks he won't be back for graduation liturgy. ",sad daddy leaving later england suck wont back graduation liturgy,sad daddys leave later england sucks will not graduation liturgy
